deal_id,created_date,closed_date,sales_rep_id,industry,region,product_type,lead_source,deal_stage,deal_amount,sales_cycle_days,outcome,target,win_probability
D00016,2023-08-13,2023-10-25,rep_19,SaaS,Europe,Enterprise,Outbound,Qualified,11681,73,Lost,0,0.4065327766604157
D00017,2023-01-04,2023-01-20,rep_3,SaaS,Europe,Pro,Referral,Proposal,2482,16,Lost,0,0.4669125882833284
D00018,2023-04-20,2023-07-05,rep_14,HealthTech,North America,Core,Referral,Negotiation,6677,76,Won,1,0.4563328541583162
D00019,2023-07-01,2023-08-31,rep_24,EdTech,North America,Core,Outbound,Negotiation,7972,61,Won,1,0.4528717101016955
D00020,2023-04-08,2023-06-22,rep_3,Ecommerce,North America,Core,Inbound,Demo,11006,75,Won,1,0.4631553610079536
D00021,2023-02-17,2023-05-31,rep_13,FinTech,Europe,Pro,Inbound,Demo,14658,103,Lost,0,0.4731137375404328
D00022,2023-07-19,2023-08-28,rep_22,Ecommerce,Europe,Core,Partner,Closed,75444,40,Lost,0,0.4783225533906982
D00023,2023-04-22,2023-05-06,rep_19,Ecommerce,Europe,Core,Inbound,Qualified,6441,14,Lost,0,0.42454100321770716
D00024,2024-03-11,2024-04-10,rep_19,HealthTech,North America,Enterprise,Inbound,Qualified,19062,30,Won,1,0.42098325109477297
D00025,2023-08-03,2023-11-02,rep_8,EdTech,India,Core,Partner,Proposal,6282,91,Lost,0,0.42671532566269366
D00026,2023-08-23,2023-10-09,rep_4,FinTech,Europe,Enterprise,Partner,Closed,80068,47,Lost,0,0.5006730017375702
D00027,2023-03-09,2023-04-29,rep_18,EdTech,North America,Enterprise,Partner,Negotiation,4001,51,Lost,0,0.4396202980320181
D00028,2023-12-06,2023-12-26,rep_5,EdTech,APAC,Enterprise,Outbound,Closed,3100,20,Lost,0,0.4561232185888958
D00029,2024-01-03,2024-02-22,rep_2,FinTech,India,Pro,Inbound,Proposal,12325,50,Won,1,0.4877012855021846
D00030,2023-01-02,2023-02-20,rep_18,Ecommerce,North America,Core,Inbound,Negotiation,41178,49,Lost,0,0.48097168094328807
D00031,2023-12-20,2024-01-15,rep_5,FinTech,APAC,Pro,Inbound,Negotiation,5024,26,Lost,0,0.4805399797625087
D00032,2023-07-03,2023-08-05,rep_20,HealthTech,Europe,Core,Outbound,Negotiation,66357,33,Lost,0,0.48146497253736226
D00033,2023-07-31,2023-08-10,rep_23,FinTech,India,Core,Referral,Demo,14745,10,Won,1,0.5178961022925059
D00034,2023-04-24,2023-05-26,rep_1,HealthTech,India,Pro,Partner,Demo,5770,32,Lost,0,0.45028033776991444
D00035,2024-03-18,2024-04-02,rep_11,FinTech,North America,Pro,Outbound,Closed,13753,15,Lost,0,0.49843529257845376
D00036,2023-10-25,2023-12-04,rep_14,SaaS,North America,Pro,Outbound,Proposal,65309,40,Won,1,0.4812795326039889
D00037,2023-05-11,2023-05-23,rep_12,Ecommerce,North America,Enterprise,Partner,Demo,90575,12,Lost,0,0.5010968425431382
D00038,2023-11-16,2024-01-02,rep_22,Ecommerce,APAC,Pro,Partner,Proposal,59363,47,Lost,0,0.4554747353974155
D00039,2023-10-11,2023-11-03,rep_10,Ecommerce,North America,Pro,Partner,Closed,42810,23,Won,1,0.4723928525536474
D00040,2023-04-18,2023-06-19,rep_15,HealthTech,India,Enterprise,Outbound,Negotiation,18726,62,Lost,0,0.46491344036965887
D00041,2023-12-04,2023-12-21,rep_22,EdTech,Europe,Core,Outbound,Demo,7438,17,Won,1,0.4644941217917644
D00042,2023-01-13,2023-01-25,rep_21,SaaS,Europe,Enterprise,Referral,Negotiation,18015,12,Won,1,0.4836146491474673
D00043,2023-09-11,2023-11-08,rep_8,HealthTech,India,Core,Outbound,Negotiation,7374,58,Won,1,0.45788679869896365
D00044,2024-03-10,2024-04-01,rep_11,Ecommerce,India,Enterprise,Referral,Closed,89616,22,Lost,0,0.5300973958677399
D00045,2023-03-23,2023-07-03,rep_25,SaaS,India,Enterprise,Outbound,Proposal,52406,102,Lost,0,0.46708547657626914
D00046,2023-05-21,2023-07-23,rep_18,FinTech,Europe,Core,Outbound,Proposal,11841,63,Won,1,0.4731230877711563
D00047,2023-07-16,2023-10-19,rep_18,Ecommerce,India,Core,Outbound,Proposal,9052,95,Won,1,0.45344775356397166
D00048,2024-03-02,2024-05-01,rep_16,FinTech,APAC,Pro,Referral,Negotiation,22560,60,Won,1,0.48818091432142274
D00049,2024-03-12,2024-07-03,rep_9,Ecommerce,India,Core,Referral,Demo,17883,113,Won,1,0.4711813807634132
D00050,2023-06-22,2023-09-22,rep_20,SaaS,North America,Pro,Inbound,Demo,19864,92,Lost,0,0.45607714008781874
D00051,2023-02-12,2023-05-12,rep_11,HealthTech,India,Pro,Partner,Negotiation,10977,89,Won,1,0.43389380975427283
D00052,2024-01-25,2024-05-23,rep_24,SaaS,North America,Pro,Outbound,Qualified,12133,119,Won,1,0.39488457241365793
D00053,2023-11-29,2023-12-14,rep_1,SaaS,Europe,Core,Outbound,Demo,7339,15,Lost,0,0.4676869294108487
D00054,2023-08-31,2023-12-01,rep_20,SaaS,North America,Core,Partner,Demo,15619,92,Won,1,0.4357067585803101
D00055,2023-02-25,2023-05-17,rep_3,SaaS,Europe,Core,Partner,Demo,17433,81,Won,1,0.43627912304678945
D00056,2024-03-11,2024-06-13,rep_14,EdTech,North America,Enterprise,Partner,Closed,17272,94,Lost,0,0.4346561960810351
D00057,2023-01-07,2023-05-02,rep_23,HealthTech,India,Core,Partner,Negotiation,9729,115,Won,1,0.4257234279449472
D00058,2023-11-12,2024-03-01,rep_9,EdTech,Europe,Core,Partner,Closed,77091,110,Lost,0,0.4500698354637499
D00059,2023-08-19,2023-09-26,rep_16,EdTech,Europe,Pro,Outbound,Qualified,17999,38,Lost,0,0.4135860396301963
D00060,2023-07-01,2023-10-18,rep_17,HealthTech,North America,Core,Referral,Qualified,56211,109,Won,1,0.4215150289565307
D00061,2023-09-08,2023-11-25,rep_3,EdTech,Europe,Pro,Outbound,Qualified,15800,78,Lost,0,0.40175744095704513
D00062,2023-06-06,2023-09-05,rep_24,SaaS,APAC,Pro,Referral,Negotiation,17068,91,Lost,0,0.4512959585801973
D00063,2023-05-19,2023-07-04,rep_24,SaaS,Europe,Core,Outbound,Qualified,19817,46,Won,1,0.41435050036880033
D00064,2024-01-14,2024-03-22,rep_7,EdTech,Europe,Pro,Outbound,Qualified,16595,68,Won,1,0.4048095641905472
D00065,2023-06-04,2023-06-12,rep_10,HealthTech,India,Core,Inbound,Closed,3036,8,Lost,0,0.47180836190477954
D00066,2023-10-21,2023-12-03,rep_16,FinTech,North America,Pro,Referral,Proposal,5608,43,Lost,0,0.4898348485899904
D00067,2023-02-07,2023-04-28,rep_3,HealthTech,North America,Enterprise,Referral,Proposal,39555,80,Lost,0,0.4668936158815665
D00068,2023-11-07,2024-01-29,rep_10,SaaS,India,Pro,Inbound,Negotiation,16561,83,Lost,0,0.4605237302089135
D00069,2023-11-09,2024-02-18,rep_6,HealthTech,Europe,Enterprise,Inbound,Qualified,18248,101,Won,1,0.39807538234632267
D00070,2023-03-22,2023-03-29,rep_8,EdTech,APAC,Enterprise,Referral,Qualified,17729,7,Won,1,0.4275267720737644
D00071,2023-02-06,2023-05-11,rep_14,FinTech,Europe,Enterprise,Outbound,Demo,97304,94,Won,1,0.5143985035217369
D00072,2023-05-17,2023-09-06,rep_10,Ecommerce,North America,Pro,Partner,Closed,60319,112,Won,1,0.45519804196744623
D00073,2023-12-25,2024-02-21,rep_20,FinTech,India,Enterprise,Partner,Qualified,16847,58,Lost,0,0.4302603381374872
D00074,2023-11-06,2023-12-15,rep_25,EdTech,North America,Core,Referral,Qualified,95392,39,Won,1,0.45989463263785957
D00075,2023-09-23,2023-12-22,rep_3,Ecommerce,APAC,Pro,Partner,Negotiation,10973,90,Won,1,0.4282399604699812
D00076,2023-06-14,2023-09-14,rep_10,Ecommerce,North America,Pro,Inbound,Negotiation,73955,92,Won,1,0.48388487202838404
D00077,2023-06-11,2023-07-20,rep_15,Ecommerce,North America,Core,Partner,Closed,20150,39,Won,1,0.4574285783626376
D00078,2023-11-15,2024-02-26,rep_5,EdTech,India,Enterprise,Referral,Closed,8845,103,Lost,0,0.46205072527961416
D00079,2023-03-04,2023-03-14,rep_1,SaaS,India,Core,Outbound,Closed,11920,10,Lost,0,0.4790034599906878
D00080,2024-03-06,2024-03-27,rep_17,EdTech,India,Pro,Referral,Proposal,18612,21,Lost,0,0.47955485769577993
D00081,2023-05-05,2023-07-09,rep_3,EdTech,India,Pro,Partner,Demo,98561,65,Lost,0,0.48389137389658476
D00082,2024-02-25,2024-03-03,rep_5,Ecommerce,India,Pro,Partner,Negotiation,96011,7,Won,1,0.505641167451807
D00083,2023-10-10,2024-01-22,rep_19,Ecommerce,Europe,Pro,Inbound,Demo,44727,104,Lost,0,0.46709307415186097
D00084,2023-06-12,2023-09-22,rep_5,SaaS,APAC,Core,Referral,Qualified,14325,102,Lost,0,0.3996564472784643
D00085,2023-02-21,2023-05-06,rep_3,Ecommerce,APAC,Pro,Referral,Demo,19836,74,Lost,0,0.4668080784128086
D00086,2023-11-29,2023-12-16,rep_18,FinTech,North America,Core,Partner,Negotiation,16742,17,Lost,0,0.47998195800421467
D00087,2023-04-27,2023-08-07,rep_23,EdTech,North America,Core,Partner,Demo,18383,102,Won,1,0.43150594613335697
D00088,2024-02-12,2024-02-26,rep_14,SaaS,Europe,Core,Outbound,Closed,5070,14,Won,1,0.46527096832694653
D00089,2023-02-10,2023-05-06,rep_5,HealthTech,India,Enterprise,Partner,Closed,19192,85,Lost,0,0.44240263355612625
D00090,2023-08-24,2023-10-02,rep_15,EdTech,APAC,Enterprise,Referral,Qualified,5811,39,Lost,0,0.41357415793038727
D00091,2023-12-20,2024-01-28,rep_8,Ecommerce,APAC,Enterprise,Partner,Qualified,11263,39,Lost,0,0.3982783630303168
D00092,2023-12-25,2024-02-07,rep_22,FinTech,India,Pro,Outbound,Closed,7392,44,Won,1,0.49371622317023106
D00093,2023-11-07,2024-02-24,rep_21,FinTech,North America,Pro,Referral,Demo,52850,109,Won,1,0.5011340497478571
D00094,2023-01-18,2023-04-09,rep_6,HealthTech,Europe,Enterprise,Partner,Negotiation,9476,81,Won,1,0.4286701890042635
D00095,2023-09-29,2023-12-09,rep_4,Ecommerce,North America,Core,Outbound,Proposal,12210,71,Lost,0,0.45531845605629545
D00096,2024-03-16,2024-06-17,rep_1,EdTech,North America,Pro,Partner,Negotiation,5255,93,Lost,0,0.42590653300440645
D00097,2023-12-11,2024-03-22,rep_16,FinTech,APAC,Enterprise,Outbound,Demo,6788,102,Lost,0,0.46485649114008015
D00098,2023-11-28,2023-12-13,rep_4,HealthTech,North America,Core,Partner,Negotiation,59608,15,Lost,0,0.4692826102441768
D00099,2023-09-10,2023-10-01,rep_22,SaaS,India,Enterprise,Outbound,Proposal,10222,21,Won,1,0.47113041331913363
D00100,2023-08-01,2023-10-30,rep_23,EdTech,Europe,Pro,Referral,Qualified,18086,90,Won,1,0.4092117734852715
D00101,2023-05-01,2023-08-25,rep_2,Ecommerce,APAC,Core,Inbound,Proposal,91364,116,Won,1,0.4680090606362166
D00102,2024-03-10,2024-06-30,rep_11,HealthTech,Europe,Enterprise,Outbound,Qualified,7429,112,Lost,0,0.38988513944180764
D00103,2023-02-05,2023-05-29,rep_25,HealthTech,North America,Pro,Outbound,Proposal,3697,113,Lost,0,0.4292919385832757
D00104,2023-03-08,2023-05-23,rep_12,HealthTech,APAC,Core,Outbound,Qualified,3429,76,Won,1,0.38809570979952085
D00105,2023-05-16,2023-05-29,rep_16,Ecommerce,APAC,Enterprise,Inbound,Qualified,34896,13,Won,1,0.4333445638294294
D00106,2023-08-20,2023-10-30,rep_21,FinTech,North America,Pro,Referral,Negotiation,8710,71,Won,1,0.4893439392118705
D00107,2023-08-07,2023-11-09,rep_20,HealthTech,North America,Core,Partner,Proposal,7835,94,Won,1,0.41867537154377904
D00108,2023-11-16,2024-02-12,rep_10,Ecommerce,India,Core,Inbound,Closed,69925,88,Lost,0,0.4902082413130304
D00109,2024-03-12,2024-06-10,rep_8,Ecommerce,APAC,Pro,Referral,Negotiation,19810,90,Lost,0,0.459460999083371
D00110,2023-08-01,2023-11-09,rep_22,Ecommerce,North America,Core,Inbound,Demo,13120,100,Won,1,0.4570912547661086
D00111,2023-02-17,2023-04-20,rep_18,SaaS,APAC,Enterprise,Inbound,Closed,5052,62,Won,1,0.44858218002971867
D00112,2023-07-30,2023-09-20,rep_10,EdTech,North America,Enterprise,Outbound,Closed,19813,52,Lost,0,0.464906602987347
D00113,2023-03-21,2023-06-20,rep_25,EdTech,Europe,Pro,Inbound,Qualified,13736,91,Lost,0,0.3980000501934113
D00114,2023-11-08,2024-02-07,rep_11,EdTech,North America,Core,Outbound,Proposal,8474,91,Lost,0,0.43879373096971136
D00115,2023-10-17,2024-01-16,rep_7,Ecommerce,India,Pro,Partner,Closed,3162,91,Won,1,0.4421161293048239
D00116,2023-03-22,2023-05-15,rep_5,HealthTech,North America,Enterprise,Inbound,Qualified,4657,54,Won,1,0.40820099407434696
D00117,2023-05-20,2023-07-22,rep_7,SaaS,North America,Pro,Referral,Proposal,17946,63,Lost,0,0.4638867040326793
D00118,2023-02-26,2023-04-10,rep_2,HealthTech,India,Enterprise,Inbound,Proposal,89066,43,Lost,0,0.4961368210502978
D00119,2023-01-04,2023-02-06,rep_4,FinTech,India,Enterprise,Referral,Proposal,10248,33,Won,1,0.5036858722435749
D00120,2023-03-31,2023-04-23,rep_3,Ecommerce,North America,Pro,Inbound,Proposal,85570,23,Won,1,0.502465696016515
D00121,2023-08-24,2023-09-09,rep_10,FinTech,India,Core,Partner,Negotiation,15033,16,Lost,0,0.4857761475337141
D00122,2023-03-29,2023-07-16,rep_4,HealthTech,India,Enterprise,Referral,Negotiation,5769,109,Lost,0,0.4560611729263888
D00123,2023-09-26,2023-10-13,rep_3,SaaS,North America,Enterprise,Outbound,Demo,13562,17,Won,1,0.4763347487102511
D00124,2024-02-02,2024-03-24,rep_9,HealthTech,Europe,Enterprise,Outbound,Demo,7287,51,Won,1,0.45624510355994274
D00125,2024-01-25,2024-05-08,rep_25,SaaS,India,Enterprise,Partner,Closed,18288,104,Lost,0,0.44115632492449797
D00126,2024-03-18,2024-06-13,rep_9,SaaS,North America,Pro,Inbound,Proposal,9118,87,Won,1,0.44394424051005954
D00127,2023-06-08,2023-08-13,rep_20,SaaS,India,Pro,Inbound,Qualified,2466,66,Lost,0,0.41180344697676036
D00128,2023-08-19,2023-12-07,rep_5,FinTech,India,Core,Partner,Closed,13267,110,Lost,0,0.4597608030850123
D00129,2024-01-01,2024-01-18,rep_15,SaaS,Europe,Pro,Partner,Negotiation,52472,17,Lost,0,0.4671769446993853
D00130,2023-05-25,2023-07-20,rep_3,EdTech,North America,Enterprise,Referral,Proposal,4771,56,Won,1,0.46002674152745304
D00131,2023-05-26,2023-07-04,rep_19,HealthTech,APAC,Pro,Referral,Qualified,17874,39,Lost,0,0.41441715568286264
D00132,2023-03-08,2023-05-30,rep_5,SaaS,North America,Enterprise,Referral,Proposal,13072,83,Lost,0,0.45880787552522007
D00133,2023-09-18,2023-11-10,rep_7,HealthTech,Europe,Core,Inbound,Negotiation,10953,53,Won,1,0.4519981106157816
D00134,2023-06-01,2023-09-24,rep_25,SaaS,Europe,Enterprise,Referral,Proposal,6158,115,Lost,0,0.4435425419109574
D00135,2023-03-20,2023-04-16,rep_2,Ecommerce,APAC,Enterprise,Outbound,Negotiation,41697,27,Won,1,0.4794627844911745
D00136,2023-08-16,2023-11-09,rep_16,HealthTech,APAC,Enterprise,Referral,Proposal,5677,85,Won,1,0.4402364105870588
D00137,2023-08-25,2023-12-08,rep_7,SaaS,Europe,Pro,Inbound,Demo,16239,105,Won,1,0.44755901221714117
D00138,2023-11-25,2024-02-01,rep_3,HealthTech,APAC,Pro,Outbound,Proposal,6542,68,Lost,0,0.43274599174522854
D00139,2024-03-01,2024-05-02,rep_2,Ecommerce,APAC,Core,Referral,Negotiation,3818,62,Won,1,0.4597805096975802
D00140,2023-02-11,2023-04-06,rep_2,EdTech,India,Enterprise,Outbound,Demo,4610,54,Won,1,0.4655581353862967
D00141,2024-01-24,2024-04-30,rep_7,HealthTech,India,Core,Partner,Proposal,7040,97,Lost,0,0.4236295983377534
D00142,2023-05-02,2023-06-16,rep_16,SaaS,North America,Enterprise,Outbound,Qualified,3953,45,Won,1,0.4140577176492478
D00143,2024-01-03,2024-01-28,rep_14,HealthTech,North America,Enterprise,Partner,Closed,2012,25,Won,1,0.445349206601158
D00144,2023-02-04,2023-04-19,rep_2,Ecommerce,APAC,Pro,Inbound,Negotiation,17079,74,Lost,0,0.4533718660084491
D00145,2023-07-02,2023-10-17,rep_5,FinTech,APAC,Enterprise,Partner,Proposal,33587,107,Won,1,0.4489933369741398
D00146,2024-02-21,2024-05-20,rep_5,FinTech,India,Core,Partner,Demo,82722,89,Won,1,0.49817591887964197
D00147,2023-04-14,2023-04-26,rep_18,Ecommerce,APAC,Core,Outbound,Negotiation,60642,12,Lost,0,0.48895612627208895
D00148,2023-05-27,2023-07-18,rep_12,Ecommerce,India,Enterprise,Referral,Qualified,18743,52,Lost,0,0.44117854256977324
D00149,2023-07-17,2023-09-05,rep_9,FinTech,India,Core,Referral,Closed,19338,50,Lost,0,0.5069772703673343
D00150,2023-11-05,2024-02-25,rep_22,EdTech,APAC,Pro,Referral,Proposal,4406,112,Won,1,0.43132503026710284
D00151,2023-03-27,2023-06-30,rep_9,FinTech,North America,Enterprise,Referral,Negotiation,66210,95,Won,1,0.5108419557826659
D00152,2023-07-06,2023-09-16,rep_22,Ecommerce,North America,Core,Inbound,Closed,7565,72,Lost,0,0.4607845478330835
D00153,2023-05-01,2023-08-15,rep_5,Ecommerce,APAC,Pro,Referral,Closed,4966,106,Lost,0,0.44960349692332807
D00154,2024-01-26,2024-02-11,rep_8,FinTech,North America,Enterprise,Outbound,Proposal,14012,16,Lost,0,0.4937752470751247
D00155,2023-09-13,2023-11-25,rep_7,SaaS,APAC,Enterprise,Referral,Negotiation,9929,73,Won,1,0.45584521072302775
D00156,2023-04-13,2023-05-05,rep_3,EdTech,APAC,Enterprise,Inbound,Negotiation,42630,22,Won,1,0.4725504296185791
D00157,2023-10-09,2023-12-24,rep_8,FinTech,Europe,Core,Outbound,Closed,10580,76,Won,1,0.47607860260360113
D00158,2024-02-09,2024-04-19,rep_5,SaaS,North America,Core,Partner,Closed,17376,70,Won,1,0.44090601045918215
D00159,2023-07-23,2023-10-29,rep_5,EdTech,North America,Pro,Referral,Qualified,73665,98,Lost,0,0.4343606815172666
D00160,2023-12-15,2024-02-26,rep_14,SaaS,North America,Core,Outbound,Demo,6516,73,Won,1,0.4543867793352284
D00161,2023-06-05,2023-07-03,rep_3,EdTech,Europe,Enterprise,Partner,Proposal,65353,28,Won,1,0.4638089688354357
D00162,2023-03-06,2023-06-01,rep_19,SaaS,Europe,Core,Partner,Demo,85873,87,Won,1,0.46473423622854804
D00163,2024-03-07,2024-05-25,rep_9,HealthTech,India,Enterprise,Inbound,Closed,25958,79,Won,1,0.46517347531419684
D00164,2023-09-12,2024-01-10,rep_22,Ecommerce,APAC,Pro,Inbound,Demo,18517,120,Lost,0,0.44402007795041204
D00165,2023-12-19,2024-01-02,rep_20,HealthTech,APAC,Enterprise,Partner,Proposal,5404,14,Won,1,0.43254318725330887
D00166,2024-01-11,2024-05-07,rep_4,EdTech,Europe,Pro,Inbound,Closed,68567,117,Won,1,0.46293534173493534
D00167,2023-05-17,2023-07-20,rep_14,HealthTech,Europe,Pro,Partner,Closed,8829,64,Won,1,0.43158974428128155
D00168,2023-04-08,2023-07-21,rep_1,FinTech,India,Enterprise,Referral,Negotiation,15648,104,Won,1,0.492103268005324
D00169,2023-05-04,2023-06-07,rep_21,Ecommerce,APAC,Enterprise,Inbound,Closed,8828,34,Lost,0,0.46475546096592046
D00170,2024-03-09,2024-03-29,rep_2,Ecommerce,North America,Enterprise,Outbound,Proposal,19919,20,Won,1,0.47616069419392815
D00171,2023-07-05,2023-09-20,rep_20,SaaS,North America,Core,Inbound,Proposal,79028,77,Won,1,0.47717455736077313
D00172,2023-07-21,2023-09-13,rep_20,SaaS,India,Enterprise,Inbound,Demo,4777,54,Lost,0,0.46897174120584145
D00173,2023-01-24,2023-02-04,rep_20,SaaS,Europe,Pro,Partner,Demo,15761,11,Won,1,0.45548112307065347
D00174,2023-03-25,2023-05-21,rep_18,Ecommerce,APAC,Pro,Inbound,Closed,64089,57,Lost,0,0.4801097307780757
D00175,2023-07-08,2023-08-26,rep_20,Ecommerce,APAC,Enterprise,Outbound,Qualified,60327,49,Lost,0,0.43383689722674795
D00176,2024-01-05,2024-01-18,rep_2,SaaS,North America,Core,Inbound,Demo,3396,13,Lost,0,0.4704758623149157
D00177,2023-08-14,2023-09-30,rep_25,SaaS,India,Enterprise,Inbound,Closed,19313,47,Won,1,0.4756876367924536
D00178,2023-12-28,2024-01-21,rep_11,HealthTech,India,Enterprise,Partner,Negotiation,82701,24,Lost,0,0.4864080277043528
D00179,2023-10-07,2023-11-28,rep_7,HealthTech,APAC,Enterprise,Partner,Negotiation,54650,52,Lost,0,0.4495138297898425
D00180,2023-04-26,2023-06-10,rep_12,SaaS,APAC,Pro,Inbound,Negotiation,11396,45,Lost,0,0.45229461181774083
D00181,2023-10-21,2024-01-22,rep_10,FinTech,APAC,Pro,Partner,Qualified,13654,93,Lost,0,0.4004755378801595
D00182,2024-01-18,2024-03-26,rep_5,FinTech,Europe,Core,Inbound,Proposal,93664,68,Won,1,0.5087401242934418
D00183,2023-12-09,2024-02-21,rep_23,Ecommerce,North America,Enterprise,Outbound,Proposal,8860,74,Won,1,0.45612473710431195
D00184,2023-01-03,2023-03-21,rep_25,EdTech,APAC,Pro,Inbound,Demo,14666,77,Lost,0,0.44499170417454226
D00185,2024-01-29,2024-02-16,rep_6,FinTech,India,Pro,Outbound,Negotiation,3902,18,Lost,0,0.4983200631908405
D00186,2024-01-19,2024-05-16,rep_4,EdTech,APAC,Pro,Referral,Closed,59110,118,Lost,0,0.4607916840913918
D00187,2023-03-10,2023-07-03,rep_24,Ecommerce,APAC,Enterprise,Outbound,Demo,11159,115,Lost,0,0.44418119359354563
D00188,2023-01-08,2023-04-19,rep_21,Ecommerce,India,Enterprise,Partner,Closed,4416,101,Won,1,0.4425433128277187
D00189,2023-02-14,2023-04-13,rep_1,EdTech,India,Core,Referral,Demo,10303,58,Lost,0,0.4738793549783694
D00190,2024-01-21,2024-03-02,rep_21,EdTech,Europe,Core,Inbound,Proposal,4473,41,Lost,0,0.44831956746121926
D00191,2023-08-27,2023-10-12,rep_21,EdTech,APAC,Enterprise,Outbound,Qualified,60760,46,Won,1,0.42562250436208926
D00192,2023-04-23,2023-05-17,rep_16,SaaS,Europe,Core,Inbound,Closed,17924,24,Lost,0,0.4688202865135314
D00193,2023-09-27,2023-11-30,rep_18,SaaS,Europe,Enterprise,Outbound,Qualified,4963,64,Lost,0,0.40609667296982493
D00194,2023-03-26,2023-05-13,rep_16,FinTech,India,Core,Referral,Closed,46922,48,Lost,0,0.5197973827902704
D00195,2023-03-09,2023-05-20,rep_24,FinTech,India,Pro,Inbound,Proposal,8945,72,Won,1,0.48000846286020726
D00196,2024-01-17,2024-02-20,rep_18,FinTech,North America,Pro,Inbound,Qualified,65158,34,Lost,0,0.46739442657446195
D00197,2023-05-27,2023-07-25,rep_15,Ecommerce,India,Core,Outbound,Negotiation,18510,59,Won,1,0.4737025308978453
D00198,2023-12-01,2024-03-27,rep_24,HealthTech,North America,Core,Partner,Demo,71518,117,Won,1,0.4488521832264838
D00199,2023-08-26,2023-11-27,rep_15,EdTech,Europe,Pro,Outbound,Demo,5474,93,Lost,0,0.44285567306788864
D00200,2024-03-24,2024-07-01,rep_8,HealthTech,North America,Core,Inbound,Qualified,74950,99,Lost,0,0.42319501834518236
D00201,2023-08-17,2023-11-08,rep_8,SaaS,Europe,Core,Outbound,Negotiation,12009,83,Lost,0,0.44788310840353335
D00202,2023-09-15,2023-10-29,rep_25,EdTech,Europe,Pro,Outbound,Closed,61799,44,Won,1,0.47976849288043666
D00203,2023-12-05,2024-02-16,rep_24,HealthTech,India,Enterprise,Referral,Closed,27989,73,Won,1,0.4771553722203655
D00204,2023-01-25,2023-03-17,rep_14,HealthTech,APAC,Pro,Outbound,Negotiation,14244,51,Lost,0,0.44677046881671717
D00205,2024-01-22,2024-04-06,rep_18,Ecommerce,India,Enterprise,Outbound,Qualified,12927,75,Lost,0,0.4223768369101901
D00206,2023-07-18,2023-08-25,rep_3,SaaS,Europe,Core,Partner,Proposal,18595,38,Won,1,0.4399666929933936
D00207,2023-07-13,2023-10-14,rep_7,Ecommerce,Europe,Pro,Partner,Closed,44662,93,Lost,0,0.4503084960153828
D00208,2023-01-08,2023-02-11,rep_23,HealthTech,India,Core,Partner,Closed,51797,34,Lost,0,0.46790973360578597
D00209,2024-02-02,2024-03-16,rep_12,SaaS,India,Pro,Inbound,Proposal,18628,43,Won,1,0.466661390342396
D00210,2024-02-16,2024-05-25,rep_2,SaaS,Europe,Enterprise,Outbound,Negotiation,11328,99,Lost,0,0.44623889658392657
D00211,2023-01-09,2023-02-18,rep_7,EdTech,Europe,Pro,Outbound,Demo,17488,40,Lost,0,0.4629469233297042
D00212,2023-09-13,2023-11-29,rep_15,HealthTech,APAC,Core,Outbound,Negotiation,13530,77,Lost,0,0.4387793460655882
D00213,2024-01-04,2024-03-20,rep_3,FinTech,North America,Pro,Outbound,Qualified,27698,76,Lost,0,0.43850430383740335
